Date,RH120 X [km],RH120 Y [km],RH120 Z [km],Moon X [km],Moon Y [km],Moon Z [km],Earth X [km],Earth Y [km],Earth Z [km]
2028-Apr-01 ,-2.65E+06,-2.00E+07,8.81E+05,7.26E+04,3.71E+05,2.14E+04,-8.93E+02,-4.56E+03,-2.63E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-02 ,-2.37E+06,-1.98E+07,8.59E+05,-1.47E+04,3.74E+05,1.47E+04,1.81E+02,-4.59E+03,-1.81E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-03 ,-2.10E+06,-1.97E+07,8.37E+05,-1.01E+05,3.56E+05,7.25E+03,1.24E+03,-4.37E+03,-8.92E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-04 ,-1.84E+06,-1.95E+07,8.15E+05,-1.82E+05,3.17E+05,-6.27E+02,2.24E+03,-3.90E+03,7.71E+00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-05 ,-1.58E+06,-1.93E+07,7.93E+05,-2.52E+05,2.60E+05,-8.47E+03,3.09E+03,-3.20E+03,1.04E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-06 ,-1.33E+06,-1.92E+07,7.70E+05,-3.06E+05,1.87E+05,-1.58E+04,3.77E+03,-2.30E+03,1.94E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-07 ,-1.08E+06,-1.90E+07,7.47E+05,-3.42E+05,1.02E+05,-2.21E+04,4.20E+03,-1.25E+03,2.72E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-08 ,-8.37E+05,-1.88E+07,7.25E+05,-3.56E+05,1.05E+04,-2.70E+04,4.38E+03,-1.29E+02,3.33E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-09 ,-6.01E+05,-1.86E+07,7.01E+05,-3.48E+05,-8.17E+04,-3.02E+04,4.28E+03,1.01E+03,3.72E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-10 ,-3.71E+05,-1.84E+07,6.78E+05,-3.18E+05,-1.69E+05,-3.15E+04,3.91E+03,2.08E+03,3.88E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-11 ,-1.46E+05,-1.83E+07,6.55E+05,-2.69E+05,-2.46E+05,-3.09E+04,3.30E+03,3.02E+03,3.80E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-12 ,7.28E+04,-1.81E+07,6.31E+05,-2.04E+05,-3.08E+05,-2.84E+04,2.51E+03,3.79E+03,3.50E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-13 ,2.86E+05,-1.79E+07,6.07E+05,-1.28E+05,-3.53E+05,-2.43E+04,1.57E+03,4.35E+03,2.99E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-14 ,4.94E+05,-1.77E+07,5.83E+05,-4.45E+04,-3.79E+05,-1.89E+04,5.47E+02,4.66E+03,2.32E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-15 ,6.96E+05,-1.75E+07,5.59E+05,4.07E+04,-3.85E+05,-1.25E+04,-5.01E+02,4.74E+03,1.53E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-16 ,8.92E+05,-1.73E+07,5.35E+05,1.24E+05,-3.72E+05,-5.43E+03,-1.52E+03,4.58E+03,6.68E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-17 ,1.08E+06,-1.71E+07,5.10E+05,2.01E+05,-3.41E+05,1.87E+03,-2.47E+03,4.20E+03,-2.31E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-18 ,1.27E+06,-1.69E+07,4.86E+05,2.69E+05,-2.94E+05,9.09E+03,-3.31E+03,3.62E+03,-1.12E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Apr-19 ,1.45E+06,-1.67E+07,4.61E+05,3.24E+05,-2.34E+05,1.59E+04,-3.99E+03,2.87E+03,-1.95E+02
,,,,,,,,,
