Date,RH120 X [km],RH120 Y [km],RH120 Z [km],Moon X [km],Moon Y [km],Moon Z [km],Earth X [km],Earth Y [km],Earth Z [km]
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-06 ,4.34E+06,-7.45E+06,-7.41E+05,-1.88E+05,-3.23E+05,-2.71E+04,2.31E+03,3.97E+03,3.34E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-07 ,4.31E+06,-7.30E+06,-7.63E+05,-1.09E+05,-3.61E+05,-2.19E+04,1.34E+03,4.44E+03,2.70E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-08 ,4.27E+06,-7.16E+06,-7.86E+05,-2.40E+04,-3.81E+05,-1.55E+04,2.95E+02,4.68E+03,1.91E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-09 ,4.24E+06,-7.02E+06,-8.08E+05,6.23E+04,-3.81E+05,-8.35E+03,-7.66E+02,4.68E+03,1.03E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-10 ,4.20E+06,-6.88E+06,-8.31E+05,1.45E+05,-3.62E+05,-7.22E+02,-1.79E+03,4.45E+03,8.89E+00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-11 ,4.16E+06,-6.75E+06,-8.53E+05,2.21E+05,-3.25E+05,6.94E+03,-2.72E+03,4.00E+03,-8.54E+01
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-12 ,4.12E+06,-6.62E+06,-8.74E+05,2.86E+05,-2.74E+05,1.43E+04,-3.52E+03,3.37E+03,-1.76E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-13 ,4.08E+06,-6.49E+06,-8.96E+05,3.38E+05,-2.09E+05,2.09E+04,-4.16E+03,2.57E+03,-2.58E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-14 ,4.04E+06,-6.37E+06,-9.17E+05,3.75E+05,-1.35E+05,2.66E+04,-4.61E+03,1.67E+03,-3.28E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-15 ,3.99E+06,-6.25E+06,-9.38E+05,3.94E+05,-5.54E+04,3.11E+04,-4.84E+03,6.82E+02,-3.83E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-16 ,3.95E+06,-6.13E+06,-9.59E+05,3.95E+05,2.71E+04,3.42E+04,-4.86E+03,-3.33E+02,-4.20E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-17 ,3.90E+06,-6.01E+06,-9.80E+05,3.78E+05,1.08E+05,3.57E+04,-4.64E+03,-1.33E+03,-4.39E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-18 ,3.85E+06,-5.90E+06,-1.00E+06,3.42E+05,1.85E+05,3.54E+04,-4.21E+03,-2.27E+03,-4.36E+02
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2028-Jun-19 ,3.80E+06,-5.79E+06,-1.02E+06,2.91E+05,2.52E+05,3.35E+04,-3.57E+03,-3.10E+03,-4.12E+02
