Date,RH120 X [km],RH120 Y [km],RH120 Z [km],L2 X [km],L2 Y [km],L2 Z [km],,X-X,Y-Y,Z-Z,mag
2027-Sep-01 ,1.21E+07,4.03E+07,-1.34E+06,-4.00E+05,1.33E+05,-1.97E+04,,1.25E+07,4.01E+07,-1.32E+06,4.21E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-02 ,1.14E+07,4.04E+07,-1.32E+06,-4.23E+05,2.61E+04,-2.77E+04,,1.18E+07,4.04E+07,-1.30E+06,4.21E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-03 ,1.07E+07,4.06E+07,-1.31E+06,-4.21E+05,-8.19E+04,-3.40E+04,,1.11E+07,4.07E+07,-1.27E+06,4.22E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-04 ,1.00E+07,4.07E+07,-1.29E+06,-3.94E+05,-1.85E+05,-3.83E+04,,1.04E+07,4.09E+07,-1.25E+06,4.22E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-05 ,9.29E+06,4.09E+07,-1.28E+06,-3.45E+05,-2.77E+05,-4.03E+04,,9.64E+06,4.11E+07,-1.24E+06,4.23E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-06 ,8.58E+06,4.10E+07,-1.26E+06,-2.76E+05,-3.54E+05,-4.02E+04,,8.86E+06,4.13E+07,-1.22E+06,4.23E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-07 ,7.87E+06,4.11E+07,-1.24E+06,-1.94E+05,-4.13E+05,-3.80E+04,,8.06E+06,4.15E+07,-1.21E+06,4.23E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-08 ,7.15E+06,4.12E+07,-1.23E+06,-1.01E+05,-4.51E+05,-3.38E+04,,7.26E+06,4.16E+07,-1.19E+06,4.23E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-09 ,6.44E+06,4.13E+07,-1.21E+06,-4.06E+03,-4.67E+05,-2.80E+04,,6.44E+06,4.17E+07,-1.18E+06,4.22E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-10 ,5.73E+06,4.13E+07,-1.19E+06,9.35E+04,-4.61E+05,-2.09E+04,,5.63E+06,4.18E+07,-1.17E+06,4.22E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-11 ,5.01E+06,4.14E+07,-1.17E+06,1.87E+05,-4.34E+05,-1.28E+04,,4.82E+06,4.18E+07,-1.16E+06,4.21E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-12 ,4.30E+06,4.14E+07,-1.15E+06,2.72E+05,-3.87E+05,-4.19E+03,,4.02E+06,4.18E+07,-1.15E+06,4.20E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-13 ,3.58E+06,4.15E+07,-1.13E+06,3.45E+05,-3.23E+05,4.65E+03,,3.24E+06,4.18E+07,-1.14E+06,4.19E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-14 ,2.87E+06,4.15E+07,-1.11E+06,4.03E+05,-2.44E+05,1.33E+04,,2.47E+06,4.17E+07,-1.13E+06,4.18E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-15 ,2.16E+06,4.15E+07,-1.10E+06,4.43E+05,-1.54E+05,2.13E+04,,1.71E+06,4.17E+07,-1.12E+06,4.17E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-16 ,1.44E+06,4.15E+07,-1.08E+06,4.62E+05,-5.70E+04,2.83E+04,,9.81E+05,4.16E+07,-1.10E+06,4.16E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-17 ,7.31E+05,4.15E+07,-1.05E+06,4.60E+05,4.28E+04,3.40E+04,,2.71E+05,4.14E+07,-1.09E+06,4.15E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-18 ,2.02E+04,4.15E+07,-1.03E+06,4.36E+05,1.40E+05,3.80E+04,,-4.16E+05,4.13E+07,-1.07E+06,4.13E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-19 ,-6.89E+05,4.14E+07,-1.01E+06,3.90E+05,2.31E+05,4.02E+04,,-1.08E+06,4.12E+07,-1.05E+06,4.12E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-20 ,-1.40E+06,4.14E+07,-9.93E+05,3.26E+05,3.10E+05,4.03E+04,,-1.72E+06,4.11E+07,-1.03E+06,4.11E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-21 ,-2.10E+06,4.13E+07,-9.71E+05,2.44E+05,3.73E+05,3.83E+04,,-2.35E+06,4.10E+07,-1.01E+06,4.10E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-22 ,-2.81E+06,4.13E+07,-9.50E+05,1.50E+05,4.15E+05,3.42E+04,,-2.96E+06,4.08E+07,-9.84E+05,4.10E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-23 ,-3.51E+06,4.12E+07,-9.28E+05,4.71E+04,4.35E+05,2.83E+04,,-3.56E+06,4.07E+07,-9.56E+05,4.09E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-24 ,-4.21E+06,4.11E+07,-9.06E+05,-5.81E+04,4.29E+05,2.07E+04,,-4.15E+06,4.07E+07,-9.27E+05,4.09E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-25 ,-4.91E+06,4.10E+07,-8.83E+05,-1.60E+05,3.99E+05,1.19E+04,,-4.75E+06,4.06E+07,-8.95E+05,4.09E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-26 ,-5.60E+06,4.09E+07,-8.61E+05,-2.52E+05,3.45E+05,2.43E+03,,-5.35E+06,4.05E+07,-8.63E+05,4.09E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-27 ,-6.29E+06,4.07E+07,-8.38E+05,-3.29E+05,2.69E+05,-7.21E+03,,-5.96E+06,4.05E+07,-8.31E+05,4.09E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-28 ,-6.98E+06,4.06E+07,-8.15E+05,-3.86E+05,1.76E+05,-1.64E+04,,-6.59E+06,4.04E+07,-7.99E+05,4.09E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-29 ,-7.66E+06,4.04E+07,-7.92E+05,-4.19E+05,7.28E+04,-2.46E+04,,-7.24E+06,4.04E+07,-7.67E+05,4.10E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Sep-30 ,-8.34E+06,4.03E+07,-7.68E+05,-4.26E+05,-3.54E+04,-3.12E+04,,-7.92E+06,4.03E+07,-7.37E+05,4.11E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-01 ,-9.02E+06,4.01E+07,-7.45E+05,-4.07E+05,-1.41E+05,-3.60E+04,,-8.61E+06,4.02E+07,-7.09E+05,4.11E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-02 ,-9.69E+06,3.99E+07,-7.21E+05,-3.65E+05,-2.39E+05,-3.86E+04,,-9.33E+06,4.01E+07,-6.82E+05,4.12E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-03 ,-1.04E+07,3.97E+07,-6.96E+05,-3.02E+05,-3.23E+05,-3.90E+04,,-1.01E+07,4.00E+07,-6.57E+05,4.13E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-04 ,-1.10E+07,3.95E+07,-6.72E+05,-2.24E+05,-3.90E+05,-3.73E+04,,-1.08E+07,3.99E+07,-6.35E+05,4.13E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-05 ,-1.17E+07,3.93E+07,-6.47E+05,-1.33E+05,-4.36E+05,-3.36E+04,,-1.15E+07,3.97E+07,-6.14E+05,4.14E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-06 ,-1.23E+07,3.90E+07,-6.22E+05,-3.61E+04,-4.61E+05,-2.82E+04,,-1.23E+07,3.95E+07,-5.94E+05,4.14E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-07 ,-1.30E+07,3.88E+07,-5.97E+05,6.25E+04,-4.63E+05,-2.15E+04,,-1.30E+07,3.93E+07,-5.76E+05,4.14E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-08 ,-1.36E+07,3.86E+07,-5.72E+05,1.58E+05,-4.43E+05,-1.37E+04,,-1.38E+07,3.90E+07,-5.58E+05,4.14E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-09 ,-1.43E+07,3.83E+07,-5.47E+05,2.47E+05,-4.03E+05,-5.36E+03,,-1.45E+07,3.87E+07,-5.41E+05,4.13E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-10 ,-1.49E+07,3.80E+07,-5.21E+05,3.24E+05,-3.44E+05,3.27E+03,,-1.52E+07,3.84E+07,-5.24E+05,4.13E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-11 ,-1.55E+07,3.77E+07,-4.95E+05,3.86E+05,-2.69E+05,1.17E+04,,-1.59E+07,3.80E+07,-5.07E+05,4.12E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-12 ,-1.61E+07,3.74E+07,-4.70E+05,4.32E+05,-1.82E+05,1.97E+04,,-1.66E+07,3.76E+07,-4.89E+05,4.11E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-13 ,-1.68E+07,3.71E+07,-4.44E+05,4.57E+05,-8.69E+04,2.67E+04,,-1.72E+07,3.72E+07,-4.70E+05,4.10E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-14 ,-1.74E+07,3.68E+07,-4.17E+05,4.61E+05,1.28E+04,3.25E+04,,-1.78E+07,3.68E+07,-4.50E+05,4.09E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2027-Oct-15 ,-1.80E+07,3.65E+07,-3.91E+05,4.42E+05,1.12E+05,3.66E+04,,-1.84E+07,3.64E+07,-4.28E+05,4.08E+07
,,,,,,,,,,,
,,,,,,,,,,,
