Date,RH120 X [km],RH120 Y [km],RH120 Z [km],L2 X [km],L2 Y [km],L2 Z [km],Moon X [km],Moon Y [km],Moon Z [km],Sun X [km],Sun Y [km],Sun Z [km]
2026-Jan-01 ,-1.06E+08,-6.44E+07,1.60E+06,1.69E+05,3.85E+05,3.71E+04,1.44E+05,3.29E+05,3.18E+04,2.61E+07,-1.45E+08,8.89E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-02 ,-1.04E+08,-6.61E+07,1.59E+06,6.29E+04,4.15E+05,3.64E+04,5.38E+04,3.55E+05,3.12E+04,2.86E+07,-1.44E+08,8.84E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-03 ,-1.03E+08,-6.77E+07,1.59E+06,-4.69E+04,4.18E+05,3.35E+04,-4.02E+04,3.58E+05,2.87E+04,3.12E+07,-1.44E+08,8.77E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-04 ,-1.02E+08,-6.93E+07,1.59E+06,-1.54E+05,3.95E+05,2.84E+04,-1.32E+05,3.39E+05,2.43E+04,3.38E+07,-1.43E+08,8.67E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-05 ,-1.01E+08,-7.09E+07,1.58E+06,-2.51E+05,3.48E+05,2.15E+04,-2.15E+05,2.98E+05,1.84E+04,3.63E+07,-1.43E+08,8.54E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-06 ,-9.93E+07,-7.24E+07,1.58E+06,-3.34E+05,2.81E+05,1.33E+04,-2.86E+05,2.40E+05,1.14E+04,3.88E+07,-1.42E+08,8.41E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-07 ,-9.80E+07,-7.40E+07,1.57E+06,-3.97E+05,1.97E+05,4.36E+03,-3.40E+05,1.69E+05,3.74E+03,4.13E+07,-1.41E+08,8.26E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-08 ,-9.66E+07,-7.55E+07,1.57E+06,-4.38E+05,1.03E+05,-4.83E+03,-3.75E+05,8.81E+04,-4.14E+03,4.38E+07,-1.40E+08,8.10E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-09 ,-9.52E+07,-7.69E+07,1.56E+06,-4.57E+05,3.39E+03,-1.38E+04,-3.91E+05,2.91E+03,-1.18E+04,4.63E+07,-1.40E+08,7.95E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-10 ,-9.38E+07,-7.84E+07,1.55E+06,-4.52E+05,-9.62E+04,-2.20E+04,-3.87E+05,-8.24E+04,-1.89E+04,4.88E+07,-1.39E+08,7.80E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-11 ,-9.23E+07,-7.98E+07,1.55E+06,-4.26E+05,-1.91E+05,-2.92E+04,-3.65E+05,-1.64E+05,-2.50E+04,5.13E+07,-1.38E+08,7.66E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-12 ,-9.09E+07,-8.12E+07,1.54E+06,-3.79E+05,-2.77E+05,-3.50E+04,-3.25E+05,-2.37E+05,-3.00E+04,5.37E+07,-1.37E+08,7.53E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-13 ,-8.94E+07,-8.26E+07,1.53E+06,-3.15E+05,-3.50E+05,-3.92E+04,-2.70E+05,-3.00E+05,-3.36E+04,5.62E+07,-1.36E+08,7.42E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-14 ,-8.79E+07,-8.39E+07,1.52E+06,-2.37E+05,-4.08E+05,-4.16E+04,-2.03E+05,-3.49E+05,-3.57E+04,5.86E+07,-1.35E+08,7.32E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-15 ,-8.64E+07,-8.52E+07,1.51E+06,-1.48E+05,-4.47E+05,-4.22E+04,-1.26E+05,-3.83E+05,-3.61E+04,6.10E+07,-1.34E+08,7.24E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-16 ,-8.48E+07,-8.65E+07,1.51E+06,-5.15E+04,-4.66E+05,-4.08E+04,-4.41E+04,-3.99E+05,-3.49E+04,6.33E+07,-1.33E+08,7.17E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-17 ,-8.33E+07,-8.78E+07,1.50E+06,4.72E+04,-4.64E+05,-3.75E+04,4.04E+04,-3.98E+05,-3.21E+04,6.57E+07,-1.32E+08,7.13E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-18 ,-8.17E+07,-8.90E+07,1.49E+06,1.44E+05,-4.41E+05,-3.25E+04,1.23E+05,-3.77E+05,-2.78E+04,6.80E+07,-1.31E+08,7.10E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-19 ,-8.01E+07,-9.02E+07,1.48E+06,2.34E+05,-3.97E+05,-2.59E+04,2.00E+05,-3.40E+05,-2.22E+04,7.03E+07,-1.29E+08,7.08E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-20 ,-7.84E+07,-9.14E+07,1.47E+06,3.12E+05,-3.33E+05,-1.80E+04,2.68E+05,-2.86E+05,-1.54E+04,7.26E+07,-1.28E+08,7.07E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-21 ,-7.68E+07,-9.25E+07,1.46E+06,3.76E+05,-2.54E+05,-9.25E+03,3.22E+05,-2.17E+05,-7.92E+03,7.49E+07,-1.27E+08,7.07E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2026-Jan-22 ,-7.52E+07,-9.36E+07,1.45E+06,4.19E+05,-1.61E+05,-1.60E+01,3.59E+05,-1.38E+05,-1.37E+01,7.72E+07,-1.25E+08,7.08E+03
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
