Date,CD3 X [km],CD3 Y [km],CD3 Z [km],L2 X [km],L2 Y [km],L2 Z [km],,X-X,Y-Y,Z-Z,mag
2020-Jan-01 ,-6.32E+05,-6.45E+05,1.40E+06,4.56E+05,-1.15E+05,-4.02E+04,,-1.09E+06,-5.30E+05,1.44E+06,1.88E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-02 ,-6.28E+05,-6.39E+05,1.41E+06,4.70E+05,-1.86E+04,-4.28E+04,,-1.10E+06,-6.20E+05,1.45E+06,1.92E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-03 ,-6.23E+05,-6.33E+05,1.42E+06,4.63E+05,7.84E+04,-4.35E+04,,-1.09E+06,-7.11E+05,1.46E+06,1.95E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-04 ,-6.18E+05,-6.27E+05,1.42E+06,4.35E+05,1.72E+05,-4.21E+04,,-1.05E+06,-7.98E+05,1.46E+06,1.97E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-05 ,-6.12E+05,-6.20E+05,1.43E+06,3.87E+05,2.57E+05,-3.88E+04,,-9.99E+05,-8.77E+05,1.47E+06,1.98E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-06 ,-6.06E+05,-6.14E+05,1.43E+06,3.20E+05,3.31E+05,-3.36E+04,,-9.26E+05,-9.44E+05,1.47E+06,1.97E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-07 ,-6.00E+05,-6.07E+05,1.43E+06,2.37E+05,3.88E+05,-2.68E+04,,-8.37E+05,-9.95E+05,1.46E+06,1.96E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-08 ,-5.93E+05,-6.01E+05,1.44E+06,1.43E+05,4.26E+05,-1.86E+04,,-7.35E+05,-1.03E+06,1.45E+06,1.93E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2020-Jan-09 ,-5.85E+05,-5.95E+05,1.44E+06,4.02E+04,4.41E+05,-9.49E+03,,-6.25E+05,-1.04E+06,1.44E+06,1.88E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
