Date,RH120 X [km],RH120 Y [km],RH120 Z [km],L2 X [km],L2 Y [km],L2 Z [km]
2043-Oct-01 ,1.60E+06,1.57E+06,-7.72E+05,-4.33E+05,1.38E+05,1.21E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-02 ,1.54E+06,1.58E+06,-7.44E+05,-4.56E+05,3.99E+04,2.97E+03
,,,,,,
,,,,,,
,,,,,,
2043-Oct-03 ,1.47E+06,1.59E+06,-7.16E+05,-4.58E+05,-6.06E+04,-6.30E+03
,,,,,,
,,,,,,
,,,,,,
2043-Oct-04 ,1.41E+06,1.60E+06,-6.87E+05,-4.38E+05,-1.58E+05,-1.53E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-05 ,1.35E+06,1.60E+06,-6.58E+05,-3.97E+05,-2.48E+05,-2.35E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-06 ,1.29E+06,1.61E+06,-6.29E+05,-3.38E+05,-3.27E+05,-3.07E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-07 ,1.23E+06,1.61E+06,-5.99E+05,-2.64E+05,-3.91E+05,-3.64E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-08 ,1.17E+06,1.62E+06,-5.69E+05,-1.78E+05,-4.37E+05,-4.05E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-09 ,1.11E+06,1.62E+06,-5.38E+05,-8.42E+04,-4.63E+05,-4.27E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-10 ,1.05E+06,1.63E+06,-5.07E+05,1.32E+04,-4.68E+05,-4.30E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-11 ,9.90E+05,1.63E+06,-4.76E+05,1.10E+05,-4.52E+05,-4.13E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-12 ,9.33E+05,1.63E+06,-4.45E+05,2.01E+05,-4.14E+05,-3.77E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-13 ,8.75E+05,1.64E+06,-4.13E+05,2.83E+05,-3.56E+05,-3.22E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-14 ,8.19E+05,1.64E+06,-3.80E+05,3.50E+05,-2.80E+05,-2.51E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-15 ,7.62E+05,1.64E+06,-3.48E+05,3.99E+05,-1.89E+05,-1.67E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-16 ,7.06E+05,1.64E+06,-3.15E+05,4.26E+05,-8.80E+04,-7.32E+03
,,,,,,
,,,,,,
,,,,,,
2043-Oct-17 ,6.50E+05,1.64E+06,-2.82E+05,4.29E+05,1.87E+04,2.45E+03
,,,,,,
,,,,,,
,,,,,,
2043-Oct-18 ,5.94E+05,1.64E+06,-2.49E+05,4.06E+05,1.24E+05,1.21E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-19 ,5.39E+05,1.64E+06,-2.15E+05,3.58E+05,2.22E+05,2.09E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-20 ,4.83E+05,1.63E+06,-1.82E+05,2.87E+05,3.06E+05,2.85E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-21 ,4.28E+05,1.63E+06,-1.48E+05,1.98E+05,3.71E+05,3.42E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-22 ,3.74E+05,1.62E+06,-1.14E+05,9.71E+04,4.11E+05,3.77E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-23 ,3.19E+05,1.61E+06,-7.98E+04,-9.93E+03,4.27E+05,3.88E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-24 ,2.66E+05,1.61E+06,-4.58E+04,-1.16E+05,4.16E+05,3.76E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-25 ,2.13E+05,1.60E+06,-1.17E+04,-2.16E+05,3.81E+05,3.42E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-26 ,1.60E+05,1.58E+06,2.24E+04,-3.03E+05,3.24E+05,2.88E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-27 ,1.08E+05,1.57E+06,5.64E+04,-3.74E+05,2.49E+05,2.19E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-28 ,5.75E+04,1.56E+06,9.04E+04,-4.25E+05,1.62E+05,1.38E+04
,,,,,,
,,,,,,
,,,,,,
2043-Oct-29 ,7.44E+03,1.54E+06,1.24E+05,-4.55E+05,6.53E+04,4.95E+03
,,,,,,
,,,,,,
,,,,,,
2043-Oct-30 ,-4.17E+04,1.53E+06,1.58E+05,-4.62E+05,-3.44E+04,-4.11E+03
,,,,,,
,,,,,,
,,,,,,
2043-Oct-31 ,-9.00E+04,1.51E+06,1.92E+05,-4.47E+05,-1.33E+05,-1.30E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-01 ,-1.37E+05,1.49E+06,2.25E+05,-4.12E+05,-2.25E+05,-2.12E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-02 ,-1.84E+05,1.47E+06,2.58E+05,-3.57E+05,-3.07E+05,-2.85E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-03 ,-2.29E+05,1.45E+06,2.91E+05,-2.87E+05,-3.75E+05,-3.44E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-04 ,-2.74E+05,1.42E+06,3.23E+05,-2.04E+05,-4.27E+05,-3.88E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-05 ,-3.17E+05,1.40E+06,3.55E+05,-1.12E+05,-4.59E+05,-4.15E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-06 ,-3.60E+05,1.37E+06,3.87E+05,-1.49E+04,-4.71E+05,-4.23E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-07 ,-4.02E+05,1.35E+06,4.18E+05,8.23E+04,-4.62E+05,-4.11E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-08 ,-4.43E+05,1.32E+06,4.49E+05,1.76E+05,-4.32E+05,-3.81E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-09 ,-4.83E+05,1.29E+06,4.79E+05,2.60E+05,-3.82E+05,-3.33E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-10 ,-5.22E+05,1.26E+06,5.09E+05,3.33E+05,-3.13E+05,-2.69E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-11 ,-5.61E+05,1.23E+06,5.38E+05,3.88E+05,-2.29E+05,-1.91E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-12 ,-5.98E+05,1.20E+06,5.66E+05,4.23E+05,-1.32E+05,-1.03E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-13 ,-6.35E+05,1.17E+06,5.93E+05,4.35E+05,-2.82E+04,-9.73E+02
,,,,,,
,,,,,,
,,,,,,
2043-Nov-14 ,-6.71E+05,1.14E+06,6.20E+05,4.22E+05,7.74E+04,8.41E+03
,,,,,,
,,,,,,
,,,,,,
2043-Nov-15 ,-7.06E+05,1.10E+06,6.46E+05,3.83E+05,1.78E+05,1.73E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-16 ,-7.40E+05,1.07E+06,6.71E+05,3.21E+05,2.68E+05,2.51E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-17 ,-7.73E+05,1.03E+06,6.96E+05,2.38E+05,3.41E+05,3.12E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-18 ,-8.05E+05,9.90E+05,7.19E+05,1.39E+05,3.92E+05,3.53E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-19 ,-8.36E+05,9.51E+05,7.41E+05,3.14E+04,4.17E+05,3.71E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-20 ,-8.66E+05,9.10E+05,7.63E+05,-7.81E+04,4.15E+05,3.64E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-21 ,-8.95E+05,8.68E+05,7.84E+05,-1.83E+05,3.88E+05,3.35E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-22 ,-9.22E+05,8.25E+05,8.03E+05,-2.76E+05,3.37E+05,2.85E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-23 ,-9.47E+05,7.80E+05,8.22E+05,-3.53E+05,2.67E+05,2.19E+04
,,,,,,
,,,,,,
,,,,,,
2043-Nov-24 ,-9.72E+05,7.35E+05,8.39E+05,-4.11E+05,1.82E+05,1.41E+04
,,,,,,
,,,,,,
,,,,,,
